"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Waffle House"|"300"|"Desserts,Bakery"|"Mumbai"|"Mulund East"|"https://www.zomato.com/mumbai/waffle-house-mulund-east/info"|"53"|"none"|"1pm to 1230AM(Mon-Sun)"|"Good"|"3.6"|"50"
"Quesso Xpress"|"600"|"Italian,Fast Food,Sandwich,Burger"|"Mumbai"|"Oshiwara-- Andheri West"|"https://www.zomato.com/mumbai/quesso-xpress-1-oshiwara/info"|"53"|"none"|"11am to 4am(Mon-Sun)"|"Good"|"3.9"|"91"
"Sahibaan"|"800"|"Chinese,Seafood,North Indian,Mughlai"|"Mumbai"|"Bandra Talao-- Bandra West"|"https://www.zomato.com/mumbai/sahibaan-bandra-talao-bandra-west/info"|"53"|"none"|"11am to 1230AM(Mon-Sun)"|"Good"|"3.8"|"443"
"Rockville Bar & Diner"|"1600"|"North Indian,Continental,Chinese"|"Mumbai"|"CBD-Belapur"|"https://www.zomato.com/mumbai/rockville-bar-diner-cbd-belapur-navi-mumbai/info"|"53"|"Casual Dining"|"1230pm to 1am(Mon-Sun)"|"Very Good"|"4.1"|"911"
"Liv Kitchen Cafeteria"|"400"|"Fast Food,Arabian,Pizza"|"Mumbai"|"Jogeshwari"|"https://www.zomato.com/mumbai/liv-kitchen-cafeteria-jogeshwari/info"|"53"|"Quick Bites"|"10am to 1am(Mon-Sun)"|"Good"|"3.6"|"22"
"The Social Townhouse"|"1000"|"Continental,Chinese,Pizza,Mexican,Thai"|"Mumbai"|"Vashi"|"https://www.zomato.com/mumbai/the-social-townhouse-1-vashi-navi-mumbai/info"|"53"|"Casual Dining"|"12noon to 3am(Mon-Sun)"|"Very Good"|"4.0"|"216"
"Dragon Food Court"|"650"|"Chinese,Thai"|"Mumbai"|"Bhandup"|"https://www.zomato.com/mumbai/dragon-food-court-1-bhandup/info"|"53"|"Casual Dining"|"1130am to 1230AM(Mon-Sun)"|"Good"|"3.7"|"241"
"One Too Many - Regenza By Tunga"|"1500"|"North Indian,Mexican,Italian,Finger Food"|"Mumbai"|"Regenza By Tunga Hotels-- Vashi"|"https://www.zomato.com/mumbai/one-too-many-regenza-by-tunga-vashi-navi-mumbai/info"|"53"|"Casual Dining"|"12noon to 130am(Mon-Sun)"|"Very Good"|"4.2"|"639"
"Monster Pizza"|"600"|"Italian,Pizza"|"Mumbai"|"Marol"|"https://www.zomato.com/mumbai/monster-pizza-marol/info"|"53"|"none"|"1130am to 4am(Mon-Sun)"|"Very Good"|"4.1"|"451"
"Thakur Fast Food Corner"|"300"|"Fast Food"|"Mumbai"|"Goregaon West"|"https://www.zomato.com/mumbai/thakur-fast-food-corner-goregaon-west/info"|"53"|"Quick Bites"|"630pm to 1230AM(Mon-Sun)"|"Very Good"|"4.0"|"126"
"Chaitanya"|"700"|"Malwani,Seafood,Maharashtrian"|"Mumbai"|"Dadar West"|"https://www.zomato.com/mumbai/chaitanya-dadar-west/info"|"53"|"Casual Dining"|"1130am to 330pm,7pm to 1030pm(Mon,Wed)..."|"Very Good"|"4.3"|"1281"
"Hotel Milan Pure Veg"|"400"|"North Indian,South Indian,Chinese"|"Mumbai"|"Malad East"|"https://www.zomato.com/mumbai/hotel-milan-pure-veg-malad-east/info"|"53"|"Casual Dining"|"7am to 1230AM(Mon-Sun)"|"Good"|"3.7"|"172"
"Satkar Restaurant"|"800"|"North Indian,Mughlai,Chinese"|"Mumbai"|"Naupada-- Thane West"|"https://www.zomato.com/mumbai/satkar-restaurant-naupada-thane-west/info"|"53"|"Casual Dining"|"11am to 1230AM(Mon-Sun)"|"Good"|"3.8"|"205"
"Boyfriend Served Hot!"|"700"|"Chinese,North Indian,Kebab,Rolls"|"Mumbai"|"Khar"|"https://www.zomato.com/mumbai/boyfriend-served-hot-khar/info"|"53"|"Casual Dining"|"11am to 2am(Mon-Sun)"|"Good"|"3.7"|"55"
"Arabian Delights"|"400"|"Fast Food,Lebanese,Mughlai,Seafood"|"Mumbai"|"Jogeshwari"|"https://www.zomato.com/mumbai/arabian-delights-1-jogeshwari/info"|"53"|"Quick Bites"|"6pm to 1am(Mon-Sat),6pm to 1230AM(Sun)"|"Good"|"3.8"|"100"
