"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Italian Feast"|"600"|"Italian"|"Chennai"|"Saidapet"|"https://www.zomato.com/chennai/italian-feast-saidapet/info"|"296"|"Casual Dining"|"11am to 3am(Mon-Sun)"|"Average"|"3.2"|"14"
"Momo Ke Baap"|"350"|"Momos,North Indian"|"Chennai"|"Adyar"|"https://www.zomato.com/chennai/momo-ke-baap-adyar/info"|"296"|"Quick Bites"|"4pm to 1130pm(Mon-Sun)"|"None"|"NEW"|"NEW"
"Charminar Restaurant"|"400"|"South Indian,North Indian"|"Chennai"|"Tambaram"|"https://www.zomato.com/chennai/charminar-restaurant-tambaram/info"|"296"|"Casual Dining"|"12noon to 2am(Mon-Sun)"|"Average"|"3.3"|"8"
"ZinGii"|"600"|"Bakery,Desserts"|"Chennai"|"Porur"|"https://www.zomato.com/chennai/zingii-porur/info"|"296"|"Bakery"|"10am to 1am(Mon-Sun)"|"Average"|"2.9"|"12"
"Royal Fast Food"|"250"|"Fast Food"|"Chennai"|"Perambur"|"https://www.zomato.com/chennai/royal-fast-food-perambur/info"|"296"|"Quick Bites"|"11am to 12midnight(Mon-Sun)"|"Average"|"3.4"|"13"
"S.S.pandiyan"|"300"|"South Indian,Chettinad"|"Chennai"|"Porur"|"https://www.zomato.com/chennai/s-s-pandiyan-porur/info"|"296"|"Quick Bites"|"11am to 4pm,6pm to 1130pm(Mon-Sun)"|"Average"|"3.4"|"15"
"Eat street"|"400"|"Fast Food"|"Chennai"|"Ramapuram"|"https://www.zomato.com/chennai/eat-street-1-ramapuram/info"|"296"|"Quick Bites"|"24"|"Average"|"3.1"|"6"
"Disney Land"|"300"|"Biryani,Chinese"|"Chennai"|"Vadapalani"|"https://www.zomato.com/chennai/disney-land-vadapalani/info"|"296"|"Quick Bites"|"1130am to 1130pm(Mon-Sun)"|"Average"|"3.2"|"18"
"Sri Raaga Fast Food"|"250"|"Chinese"|"Chennai"|"Perambur"|"https://www.zomato.com/chennai/sri-raaga-fast-food-perambur/info"|"296"|"Quick Bites"|"1pm to 12midnight(Mon-Sun)"|"Average"|"2.8"|"10"
"Al Akbar Mutton Biriyani & Kebabs"|"300"|"Biryani,Kebab"|"Chennai"|"Arumbakkam"|"https://www.zomato.com/chennai/al-akbar-mutton-biriyani-kebabs-arumbakkam/info"|"296"|"Quick Bites"|"11am to 1030pm(Mon,Tue,Wed,Thu,Sat,Sun)..."|"Average"|"3.0"|"15"
"Tej Biryani"|"350"|"Arabian,Biryani,Chettinad,South Indian,Rolls"|"Chennai"|"Mogappair"|"https://www.zomato.com/chennai/tej-biryani-mogappair/info"|"296"|"Quick Bites"|"7am to 4pm,6pm to 12midnight(Mon-Sun)"|"Average"|"3.3"|"11"
"Zaikha Fried Chicken"|"300"|"Fast Food"|"Chennai"|"Sholinganallur"|"https://www.zomato.com/chennai/zaikha-fried-chicken-sholinganallur/info"|"296"|"Quick Bites"|"4pm to 3am(Mon-Sun)"|"None"|"NEW"|"NEW"
"Monishin Nilasoru"|"400"|"Arabian,Chinese,North Indian"|"Chennai"|"Kottivakkam"|"https://www.zomato.com/chennai/monishin-nilasoru-kottivakkam/info"|"296"|"Quick Bites"|"12noon to 12midnight(Mon-Sun)"|"Average"|"3.0"|"5"
"Thattu idli Kadai"|"250"|"South Indian"|"Chennai"|"GST Road"|"https://www.zomato.com/chennai/thattu-idli-kadai-gst-road/info"|"296"|"Quick Bites"|"5pm to 1130pm(Mon-Sun)"|"Average"|"2.9"|"16"
"The Xtreme Kitchen"|"250"|"Chinese,South Indian"|"Chennai"|"Adambakkam"|"https://www.zomato.com/chennai/the-xtreme-kitchen-adambakkam/info"|"296"|"Quick Bites"|"6am to 1130pm,12midnight to 530am(Mon-Sun)"|"None"|"NEW"|"NEW"
